Empresa	Ubicación (Ciudad, Estado)	Correo Electrónico	Teléfono	Fax
BEST ORIENTAL PRODUCE	Vernon, California	ben@bestorientalproduce.com	323-923-1660	323-923-1666
BEST, R, PRODUCE, INC.	Nueva York, Nueva York	denisemcgoey@best.com	718-617-8300	718-292-3188
BEST WEST TRADING	Salinas, California	johnbwt@aol.com	831-759-0151	831-759-0156
BESTWAY TRANSPORT	Plymouth, Ohio	N/A	419-687-2000	419-687-2004
BETTER PRODUCE	Santa Maria, California	sal@better-produce.com	805-739-0795	805-739-0485
BEZANSON & CHASE	Aylesford, Nueva Escocia, Canadá	blake@cranberry.ca	902-847-9546	902-847-9556
BHANDAL BROS. TRUCKING	Watsonville, California	manny@bhandalbrotherstrucking.com	831-728-2691	831-763-3953
BIANCHI & SONS PACKING	Merced, California	bianchico@aol.com	209-722-8134	209-722-4013
BIDART BROTHERS	Bakersfield, California	gbhami@yahoo.com	661-393-5000	661-393-5400
BIFULCO'S FOUR SEASON	Pittsgrove, Nueva Jersey	N/A	856-696-2288	856-696-5445
BIG BOY PRODUCE	McAllen, Texas	daniela@bigboyag.com	956-618-3933	956-618-3903
BIG BUCK BEAN COMPANY	Americus, Georgia	N/A	229-924-4744	866-924-5556
BIG CHUY DISTRIBUTORS	Nogales, Arizona	ChrisC@Customproducesales.com	520-281-4090	520-281-4835
BIG E PRODUCE, INC.	Lompoc, California	N/A	805-735-9194	805-735-4469
BIG MOUNTAIN ORGANICS	Kalispell, Montana	johnp@montanasky.net	406-758-4900	406-758-4904
BILLINGSLEY PRODUCE	Bakersfield, California	virginia@billingsleyproduce.com	661-321-0793	661-321-0798
BIONATUR INVERNADEROS	Jocotitlán, México	gilberto.perezalonso@bionatur.com	527121231547	527121232081
BIONOVA PRODUCE	Nogales, Arizona	tdaggett@masterstouch.com	520-281-1586	520-761-3311
BIRDSONG PEANUT CO.	Brownsfield, Texas	jgarrett@birdsong-peanuts.com	806-637-7200	806-637-1050
BJ'S WHOLESALE CLUB	Natick, Massachusetts	N/A	508-561-7400	508-651-6178
BJORNEBY POTATO CO.	Minto, Dakota del Norte	chrisbjorneby@lonewolffarms.com	701-248-3482	701-248-3508
BJ BROTHERS PRODUCE, LLC.	Nogales, Arizona	Rene@bjbropro.com	N/A	N/A
BLACK DOG FARMS	Holtville, California	N/A	760-356-2951	760-356-2160
BLAND FARMS, LLC	Glenville, Georgia	michaelh@blandfarms.com	912-654-1426	912-654-1330
BLAZER WILKINSON LP	Spreckels, California	jack@blazerwilkinson.com	831-455-3700	831-455-3705
BLOXOM, F.C., CO.	Seattle, Washington	robertb@fcbloxom.com	206-646-1000	206-382-1315
BLUE BANNER FRUIT EXCHANGE	Riverside, California	N/A	951-686-3460	951-686-6209
BLUE BIRD, INC.	Peshastin, Washington	N/A	509-548-1700	509-548-0288
BLUE CREEK PRODUCE	Saint Charles, Illinois	rogerbluecreek@sbcglobal.net	630-513-3075	630-513-6614
BLUE CROWN DISTRIBUTORS	Visalia, California	N/A	559-741-2090	559-625-0476
BLUE MOUNTAIN GROWERS	Milton-Freewater, Oregón	bluemtn@bmi.net	541-938-3391	541-938-5304
BLUE SKY FARMS	Platteville, Colorado	N/A	970-785-6586	970-785-6586
BLUE STAR GROWERS	Cashmere, Washington	bluestar@crcwnet.com	509-782-2922	509-782-3646
BOARDMAN FOODS, INC.	Boardman, Oregón	thomasflaherty@comcast.net	541-481-3000	801-881-8999
BOGGIATTO PRODUCE	Salinas, California	produce@boggiatto.com	831-424-4864	831-424-8955
BOICE, RICHIE, TOMATO	Coral Springs, Florida	rbtomato@bellsouth.net	954-757-8333	954-757-8662
BOISE RIVER PACK	N/A	brpi@aol.com	208-454-8924	N/A
BOLTHOUSE. WM., FARMS	Bakersfield, California	dthurston@bolthouse.com	661-366-7205	661-366-2834
BOMAN PACKING	Orange Cove, California	jhernandez559@sbcglobal.net	559-626-5057	559-626-5059
BONANZA2001 / DBA FIVE BROS.	Pharr, Texas	artsalsp@aol.com	956-781-8700	956-781-9553
BONIPAK PRODUCE	Santa Maria, California	brentp@bonipak.com	805-925-2585	805-922-7982
BOOTH RANCHES, LLC.	Orange Cove, California	thays@boothranchesllc.com	559-626-7653	559-626-4246
BORDERS MELON COMPANY	Edinburg, Texas	trese@bordersmelons.com	956-383-0712	956-383-1413
BORG PRODUCE SALES	Los Ángeles, California	ap@borgproduce.com	213-688-9388	213-688-9381
BORIS, I., COMPANY	Pompano Beach, Florida	produce7@bellsouth.net	954-545-0309	954-545-0302
BORTON & SONS, INC.	Yakima, Washington	frank@bortonfruit.com	509-966-3996	509-966-5131
BORTON MARKETING CO. INC.	Bakersfield, California	john@bortonfruit.com	661-325-5728	661-322-8750
BORZYNSKI BROS. DISTRIBUTING	Franksville, Wisconsin	randallb@borzynskifarms.com	800-248-0420	262-886-2111
BOSKOVICH FARMS, INC.	Delano, California	Dbeyer@boskovichfarms.com	N/A	N/A
BOSKOVICH FARMS, INC.	Oxnard, California	bdonovan@boskovichfarms.com	805-487-7799	805-487-5189
BOTSFORD & GOODFELLOW INC.	Clackamas, Oregón	chuck@botsfordgoodfellow.com	503-653-0889	503-653-0243
BOUNTY FRESH, LLC	Miami, Florida	raulr@bountyfresh.com	305-592-6969	305-436-8969
BOZZUTO'S INC.	Cheshire, Connecticut	rlevine@bozzutos.com	203-2272-3511	203-250-2958
BRADFORD AND DISTRICT	Bradford, Ontario, Canadá	luc@bradfordproduce.com	905-775-9633	905-775-9636
BRADY FARMS, INC.	West Olive, Michigan	N/A	616-842-3916	616-842-8357
BRAMEL TRUCKING COMPANY	Houston, Texas	N/A	713-928-2222	713-928-8128
BRANCH, HUGH H., INC.	Pahokee, Florida	sales@hughbranch.com	561-996-6500	561-996-6439
BRAND, ALCANTAR & BROWN	El Paso, Texas	chaga@babinc.com	915-858-1022	915-859-3521
BRANDT FARMS, INC.	Reedley, California	sales@treeripe.com	559-638-6961	559-638-6964
BRANDT PRODUCE, INC.	Edinburg, Texas	blake@brandtproduce.com	956-994-1074	956-994-1080
BRANDT, E.W. & SONS	Parker, Washington	allensales@ewbrandt.com	509-877-3193	509-877-2544
BREA PRODUCE CO.	Nogales, Arizona	breainc@hotmail.com	520-281-7400	520-281-7402
BREAM ORCHARDS, LLC	Orrtana, Pensilvania	jack@breamorchards.com	717-334-4591	717-334-2926
BRIDGE INT'L. MKTING.	Bayonne, Nueva Jersey	christinay@bridge-im.com	201-436-8897	201-436-8879
BROCK FARMS, INC.	Plant City, Florida	N/A	813-752-6599	813-752-7420
BROOKS TROPICALS, INC.	Homestead, Florida	susanu@brookstropicals.com	305-247-3544	305-246-5827
BROTHERS PRODUCE	Friendswood, Texas	clogan@brothersproduce.com	214-428-6666	214-428-6670
BROWN & LOE, INC.	Overland Park, Kansas	trucklots@aol.com	913-754-3603	913-754-3607
BROWN, JACK PRODUCE	Sparta, Michigan	info@jackbrownproduce.com	616-887-9568	616-887-9765
BROWN, MORRIS & SONS	Toronto, Ontario, Canadá	mbs@morris-brown.com	416-259-7619	416-259-7082
BROWNIE BROKERAGE	Rio Rico, Arizona	browniebrokerage@yahoo.com	520-761-8000	520-761-8500
BROWNING & SONS, INC.	Madison, Florida	N/A	850-973-6896	850-973-3531
BUD'S PROD / PREMIER PROD.	Elizabethtown, Kentucky	sales@budsproduce.com	270-765-4452	270-769-1680
BUD'S SALADS, INC.	Dallas, Texas	nancy@buds-salads.com	214-428-0341	214-428-1262
BUJULIAN BROS., INC.	Kingsburg, California	mikebujulian@bujulianbros.com	559-897-3482	559-897-4050
BURBRIDGE PRODUCE	Hobe Sound, Florida	michael@burbridgeproduce.com	772-283-2065	772-283-7616
BURNAND & CO.	Nogales, Arizona	luis.parra@burnandco.com	520-281-0211	520-281-0083
BUSHMAN POTATO SALES	Galloway, Wisconsin	grandepatata@yahoo.com	800-833-0329	714-454-6506
BUSHWICK COMMISSION	Farmingdale, Nueva York	jack@bushwickpotato.com	516-249-6030	526-249-6047
BUURMA FARMS, INC.	Willard, Ohio	info@buurmafarms.com	419-935-6411	419-935-1918
BYBEE PRODUCE, LLC.	Prosser, Washington	sales@bybeeproduce.com	509-788-8000	509-788-8004
BYRD FOODS, INC.	Parksley, Virginia	tlee@byrdfoodsinc.com	757-665-5194	757-665-6425
C & B FARMS, INC.	Clewiston, Florida	todd.scarpaci@gmail.com	863-983-8269	863-983-8030
C & C PRODUCE, INC.	Kansas City, Misuri	johnc@ccproduce.net	816-241-4425	816-241-7122
C & D FRUIT & VEG.	Bradenton, Florida	tomob@c-dfruit.com	800-899-9175	941-747-8895
C & D PRODUCE SALES	Ben Wheeler, Texas	ske111@aol.com	903-833-1797	903-833-5030
C & E FARMS	McAllen, Texas	bigboyproduce2@earthlink.net	956-687-3448	956-682-7742
C & M PRODUCE, LTD.	Grand Ledge, Michigan	cmproduceltd@aol.com	517-627-8457	517-627-4893
C & R FARMS	Palisade, Colorado	donovantalbott@candrfarms.com	970-464-7544	970-464-7645
C & R FRESH, LLC.	Nogales, Arizona	rick@crfresh.com	520-281-4955	520-281-4965
C & S WHOLESALE PROD.	Hatfield, Massachusetts	agrimaldi@cswg.com	413-247-9263	413-247-3427
C B DISTRIBUTING LLC	Nogales, Arizona	cbdistributing@qwest.net	520-761-1943	520-377-9085
C F FRESH/ROOTABAGA ETRPRSES	Sedro-Woolley, Washington	mattr@cffresh.com	360-855-0566	360-855-2430
C LANE CO., LLC	Birmingham, Alabama	clane@clanellc.com	205-380-5580	205-380-5586
C LANE WEST	Gilroy, California	jay@clanewest.com	408-848-3605	408-848-5797
C.A.L. PRODUCE SALES	Fresno, California	greg@calproducesales.com	559-646-3555	559-646-9285
CMC PRODUCE, INC.	New Suffolk, Nueva York	nick@cmcproduce.com	631-298-1059	631-298-7008
CABBAGE, INC.	Westlake, Ohio	jmccaffrey@cabbageinc.com	440-899-9171	440-899-3261
CABELLO PRODUCE CO.	Hidalgo, Texas	cabellopr@aol.com	956-843-9545	956-843-2024
CACTUS MELON DISTRIBUTING	Nogales, Arizona	cactusmelon@mchsi.com	520-281-9294	520-281-1060
CAL CITRUS PACKING	Lindsay, California	calcit@calcitruspacking.com	559-562-3600	559-562-0980
CAL FLAVOR, INC.	Escondido, California	calpacgrow@sbcglobal.net	213-488-8000	213-896-4323
CAL FRESCO, LLC	Buena Park, California	fernandov@calfresco.com	714-690-7700	714-690-7719
CAL PACIFIC GROWER	Los Ángeles, California	calpacgrow@sbcglobal.net	213-488-8000	213-896-4323
CAL SALES MARKETING	Visalia, California	ross@calsales.com	559-741-7030	559-741-7035
CAL VEG FARM	Oxnard, California	alan.calvegfarm@gmail.com	N/A	N/A
CALAFIA GROWERS, INC.	San Clemente, California	chris@calafiagrowers.com	949-361-0136	949-361-0246
CALANDRI/SONRISE FARMS	Palmdale, California	antelopedistributing@yahoo.com	951-734-8333	951-734-5333
CALAVO GROWERS, INC.	Santa Ana, California	mikea@calavo.com	949-223-1111	949-223-1112
CAL-CEL MARKETING	Oxnard, California	mark@calcel.com	805-487-5525	805-487-0711
CALIFORNIA CITRUS	Springville, California	mike@califcitrusspecialties.com	559-539-3482	559-539-3486
CALIFORNIA GIANT, INC.	Watsonville, California	nchappell@calgiant.com	831-728-1773	831-728-0613
CALIFORNIA INSTITUTE FOR MEN & WOMEN	Chino, California	N/A	909-597-1771	N/A
CALIFORNIA SEAFOOD & PRODUCE	Berkeley, California	sales@produceweb.com	510-848-8808	510-588-4545
CALIFORNIA SWEET POTATOS	Livingston, California	calsweetpotatos@yahoo.com	209-394-7935	209-394-8433
CALIFORNIA TREE RIPE	Fresno, California	marknakata@caltreeripe.com	559-497-1020	559-497-1023
CALIFORNIA VINEYARDS, LLC.	Visalia, California	shane@calvineyards.com	559-592-6400	559-638-2929
CALIFORNIA YOUTH AUTHORITY (DJJ)	N/A	N/A	916-262-1470	916-262-1767
CALIXTRO DISTRIBUTING	Rio Rico, Arizona	Richard@calixtro.net	520-281-3432	520-281-3238
CAL-MEX SALES CO.	San Diego, California	N/A	619-671-0500	619-671-0639
CAL-ORE PRODUCE, INC	Tulelake, California	joe@caloreproduce.com	530-667-2264	530-667-5030
CAL-SUN PRODUCE	Oxnard, California	richardmeck@calsunproduce.com	805-985-2262	805-486-5022
CAL-TEX PRODUCE	Dallas, Texas	caltexproduce@yahoo.com	214-747-2272	214-761-0004
CAL-WEST PACKING CO., INC.	N/A	ARCRJR@calwestpacking.com	559-646-3555	559-646-9285
CAMARILLO BERRY FARMS	Spreckels, California	john@blazerwilkinson.com	831-455-3700	831-455-3705
CAMBRIDGE FARMS, INC.	Avon, Massachusetts	ken@cambridgefarms.com	508-583-2277	508-583-2636
CAMP, D.M. & SONS	Bakersfield, California	dfrancis@dmcampandsons.com	661-391-4710	661-393-6744
CAMPO BLANCO FARMS	Houston, Texas	sales@campo-blanco.com	713-856-8515	832-615-3401
CAMS, INC.	Sherrington, Quebec, Canadá	contact@cams.qc.ca	450-454-4621	450-454-6511
CANADA GARLIC / CANADIAN	Mississauga, Ontario, Canadá	john@garliccanada.com	905-362-1888	905-362-1889
CANADAWIDE FRUIT	Montreal, Quebec, Canadá	info@canadawidefruits.com	514-382-3232	514-382-3346
CANON POTATO CO.	Center, Colorado	canonpotato@centurytel.net	719-754-3445	719-754-2227
CAP-AL INTERNATIONAL	Harlingen, Texas	rrcavazos@aol.com	956-423-9990	956-423-9992
CAPITAL CITY FRUIT CO., INC.	Des Moines, Iowa	N/A	515-981-5111	515-981-4564
CAPITAL PRODUCE DIST.	Irmo, Carolina del Sur	sales@capitalproduce.com	803-227-2990	803-227-2997
CAPURRO MARKETING	Moss Landing, California	info@capurromkt.com	831-728-1767	831-728-4807
CARB/AMERICAS, INC	Pompano Beach, Florida	jl.friedman@carbamericas.com	954-786-0000	954-786-0775
CARBONELLA & DESARBO INC.	New Haven, Connecticut	joe@carbonella.com	203-624-5127	203-787-5127
CARGIL FARMS PROD.	Uvalde, Texas	stevec@cargilfarmsproduce.com	830-278-5616	830-278-4935
CARGO TRANSPORTATION	Tamarac, Florida	N/A	954-718-5757	954-718-5796
CARIBBEAN FRUIT CONNECTION	Miami, Florida	larry@rootsandfruits.com	305-592-3400	305-592-4422
CARLSBAD PRODUCE	Escondido, California	tim.carlsbad@mindspring.com	760-739-8650	760-739-8662
CAROLINA BLUEBERRY	Garland, Florida	dennis@carolinablueberry.com	910-588-4220	910-588-4297
CAROLINA VEG., INC.	Columbia, Carolina del Sur	pamcarolinaveg@bellsouth.net	803-765-2902	803-765-9663
CARTER THOMAS, LLC	Ukiah, California	sales@bartlettpear.com	530-757-7327	530-757-9735
CARZALIA VALLEY PROD.	Columbus, Nuevo México	bill@carzaliavalley.com	505-531-2219	505-531-2215
CASTELLINI COMPANY	Newport, Kentucky	info@castellinicompany.com	859-442-4600	859-442-4666
CASTLE ROCK VINYARDS	Delano, California	algood@castlerockvineyards.com	661-721-8717	661-721-0419
CASTON, TROY, FARMS	Calipatria, California	N/A	760-348-7652	760-348-7275
CATANIA, M.L., CO., LTD.	Toronto, Ontario, Canadá	paul@cataniaworldwide.com	416-236-9394	416-236-3392
CATCO PRODUCE SALES, INC.	McAllen, Texas	frank@catcotx.com	956-630-2831	956-630-0815
CATHCO., INC.	Canastota, Nueva York	jumboyellow@aol.com	315-697-9686	315-697-8107
CAVALLARO, A.J. & SON	Goshen, Nueva York	ajcav_@warwick.net	845-651-7454	845-651-7499
CAYUGA PRODUCE, INC.	King Ferry, Nueva York	jdt1@localnet.com	315-364-8735	315-364-5257
C-BRAND TROPICALS	Miami, Florida	mikev@tropiquality.com	305-258-1444	305-258-0201
CDS DISTRIBUTING	San Francisco, California	craig@cdsdist.com	415-864-8588	415-864-0380
CECELIA PACKING	Orange Cove, California	rjacobson@ceceliapack.com	559-626-5000	559-626-7411
CEE-BEE PRODUCE	Belle Glade, Florida	ceebeepr@bellsouth.net	561-996-5223	561-996-3093
CENTRAL AMERICAN PROD.	Pompano Beach, Florida	N/A	954-943-2303	954-943-2067
CENTRAL CALIFORNIA TOMATO GROWERS	N/A	mccfarms@yahoo.com	209-722-8086	209-383-2084
CENTRAL KENTUCKY GROWERS	Georgetown, Kentucky	fryman6996@msn.com	502-862-0002	502-863-0676
CENTRAL MARKETING	Delaware, Ohio	rick.dinovo@centralmarketing.com	740-363-1126	740-363-3478
CENTRAL PRODUCE DISTRIBUTORS	Payette, Idaho	rburzota@centralproduce.net	208-642-9035	208-642-4546
CENTRAL REFRIGERATED SER.	Salt Lake City, Utah	tork_fulton@centralref.com	801-924-7000	801924-7118
CENTRAL VALLEY MARKET	Santa Maria, California	mrszez@yahoo.com	805-922-7304	805-922-7371
CENTRAL WEST PRODUCE	Santa Maria, California	cwp@cwproduce.com	805-925-2481	805-928-8269
CENTRE MARAICHER	Sainte-Clotilde-de-Châteauguay, Canadá	daniel@cmeguinois.com	450-826-3207	450-826-0366
CENTURY FARMS INT'L.	Miami, Florida	cenfarms@bellsouth.net	305-436-7971	305-436-7968
CERTIFIED PACK	Rio Rico, Arizona	gr8produce@theriver.com	520-761-3322	520-281-0910
C H DISTRIBUTING, LLC.	Nogales, Arizona	askch@chproduce.com	520-377-2266	520-377-2248
CHAMBERLAIN DISTING.	Nogales, Arizona	Sales@ChamberlainDistributing.com	520-281-1234	520-281-0805
CHAMP PRODUCE INC.	Watsonville, California	lupe@champporduce.com	831-727-1411	831-728-1511
CHAMPION PRODUCE	Parma, Idaho	champion@spro.net	208-722-5800	208-722-5844
CHAMPION PRODUCE	Barnegat Light, Nueva Jersey	CPI@Championproduce.com	609-971-8430	609-971-8433
CHANNEL ISLAND FARMS	Oxnard, California	sales@cifarm.com	805-815-0398	805-815-0359
CHAPARRAL FRUIT SALES	San Antonio, Texas	ironmike@chaparral-fruit.com	210-626-3600	210-626-1959
CHAPMAN FRUIT CO., INC.	Immokalee, Florida	cfcfege@aol.com	239-657-3151	239-657-5897
CHAPPELL, PAT	Barnwell, Carolina del Sur	patspeaches@barnwellsc.com	803-584-2565	803-584-3676
CHARBONNEAU, LUC	Saint-Laurent, Quebec, Canadá	rbuffone@videotron.ca	514-337-3955	514-337-5866
CHASCO MARKETING	Terrell, Texas	chuckeller2@aol.com	972-564-3726	972-564-4626
CHAZY ORCHARDS, INC.	Chazy, Nueva York	chazyapples.westelcom.com	518-846-7171	518-846-8171
CHELAN FRESH MARKET	Chelan, Washington	mikew@chelenfresh.com	509-682-3854	509-682-5768
CHENAIL FRUITS ET LEGUMES	Montreal, Quebec, Canadá	info@chenail.ca	514-858-7540	514-858-7443
CHESSER, FRED S. & CO.	Temperanceville, Virginia	rscco@intercom.net	757-824-3921	757-824-0651
CHICO MANDARIN CO.	Chico, California	N/A	530-345-6741	530-345-6746
CHIEFTAIN HARVESTING	Salinas, California	weber@chieftainhar.com	831-757-3061	831-424-9475
CHIEF ORCHARDS PACKING	Yakima, Washington	chiefllc@aol.com	509-996-8820	509-965-3886
CHIQUITA FRUPAC	Cincinnati, Ohio	sshiveley@chiquita.com	513-784-8000	513-784-8030
CHOICE PRODUCE, THE	Vernon, California	N/A	323-231-0030	323-231-0330
CHRISTOPHER RANCH	Gilroy, California	garlicia@christopherranch.com	408-847-1100	408-847-5488
CHU FARMS	Wimauma, Florida	chufarms@mindspring.com	813-633-2228	813-634-3068
CHURCH BROTHERS	Salinas, California	frs@churchbrothers.com	831-796-1000	831-796-1050
CIMINO BROTHERS PRODUCE	Salinas, California	vince@broccoli.net	831-751-9150	831-751-9160
CIRULI BROTHERS	Tubac, Arizona	info@cirulibrothers.com	520-281-9696	520-281-1473
CITROMEX INTER, LLC.	Weslaco, Texas	citromex@aol.com	956-973-2854	956-447-0609
CITRUS & CITRUS, INC.	Riverside, California	citruscitrus@earthlink.net	951-352-6595	951-352-6597
CITRUS COUNTRY GROWERS	Dade City, Florida	wayne@citruscountryfarms.com	352-518-0033	352-518-0879
CITRUS PLUS, INC.	Riverside, California	N/A	951-352-6595	951-352-6597
CITRUSOURCE, INC.	Long Beach, California	tim@citrusource.com	562-433-8484	562-433-8433
CITY FOODS PRODUCE	Mississauga, Ontario, Canadá	lscala@cityfoodsproduce.com	905-677-2333	905-677-3205
CLASS PRODUCE GROWERS	Jessup, Maryland	bobclass@classproduce.com	301-483-9090	301-483-6477
CLASSIC FRUIT CO.	Madera, California	praggio@classicfruit.com	559-664-9400	559-644-1175
CLASSIC SALADS, LLC.	Salinas, California	sales@classsicsalads.com	831-449-7100	831-449-8917
CLASSIE GROWERS, LLC	Myakka City, Florida	classiegrowers@earthlink.net	941-322-0435	941-322-8396
CLAYTON PELLETIER	Oceanside, California	claytonpelletier@sbcglobal.net	760-734-4543	760-734-4331
CLIFFORD PRODUCE SALES, INC.	Ruthven, Ontario, Canadá	sales@cliffordproduce.com	519-326-3112	519-326-5332
COAST CITRUS DISTRIBUTORS	San Diego, California	N/A	619-661-7950	619-661-7966
COAST PRODUCE CO., INC.	Los Ángeles, California	sales@coastproduce.com	213-955-4900	213-955-4949
COAST TO COAST PRODUCE	Cheshire, Connecticut	MAILBOX@CTCPRODUCE	203-271-2006	203-271-2796
COAST TROPICAL / DIST.	Edinburg, Texas	eposados@coasttropical.com	956-380-0367	956-383-7159
COASTAL FRUIT CO.	Mercedes, Texas	coastalfruit@sbcglobal.net	956-565-0889	956-565-1587
COASTAL MARKETING	Fort Myers, Florida	vegsalesofc@aol.com	239-332-3030	239-275-5663
COASTLINE / SUNRIDGE FARMS	Salinas, California	mark@coastlineproduce.com	831-755-1430	831-755-1429
COATES FARM PRODUCE, INC.	Roselawn, Indiana	N/A	219-345-3217	219-345-5265
COFFING BROS. ORCHARDS	Covington, Indiana	coffbros@tctc.com	765-793-3450	765-793-1419
COGGINS FARMS	Lake Park, Georgia	N/A	229-559-5288	229-559-9121
COHEN PRODUCE MKTING.	Asper, Pensilvania	scohen@pa.net	800-633-6173	717-677-6120
COHN PRODUCE CO.	Huntingdon Valley, Pensilvania	cohn1081@comcast.net	215-938-4210	215-938-4212
COKE FARM, INC.	San Juan Bautista, California	ccattin@cokefarm.com	831-726-3200	831-726-9544
COLE, HENRY ENTERPRISES	Homestead, Florida	macole@henrycoleenterprises.com	305-245-6101	305-245-6114
COLEMAN, NAT PROD.	Palestine, Texas	natco@direcway.com	903-729-7335	903-723-8884
COLLEEN STRAWBERRIES	Watsonville, California	charlie@colleenstrawberries.com	831-724-0700	831-724-0705
COLLINS, JACK PRODUCE	Faison, Carolina del Norte	scmjcproduce@earthlink.net	910-267-0155	910-267-1969
COLORADO PRODUCE	Rocky Ford, Colorado	coloradoproduce@rural-com.com	719-254-3376	719-254-3638
COLORADO SPECIALTY POTATOES	Center, Colorado	bigelow@direcway.com	719-754-3219	719-754-3512
COLORFUL HARVEST LLC	Monterey, California	dranno@colorfulharvest.com	831-646-2100	831-333-1068
COLUMBIA MKTING., INT'L.	Wenatchee, Washington	steve@cmiapples.com	509-663-1955	509-663-2231
COLUMBIA RIVER FARMS	Port Angeles, Washington	crf@washingtonstateapples.com	360-928-9700	360-928-9405
COLUMBINE VINEYARDS	Richgrove, California	sales@columbinevineyards.com	661-725-1777	661-725-7233
COMBS DISTRIBUTION	Santa Maria, California	cdcproduce@aol.com	805-346-2455	805-346-1786
COMBS PRODUCE, LP	Dallas, Texas	james@combsproduce.com	214-748-6086	214-749-5103
COMEX PRODUCE, LLC	McAllen, Texas	comexproduce@hotmail.com	956-618-5085	956-618-4955
COMPLETE PRODUCE	Monterey, California	doug@completeproduce.com	831-375-1999	831-375-1222
CONDAKES, PETER, CO.	Everett, Massachusetts	N/A	617-884-5080	617-884-3950
CONGDON ORCHARDS	Yakima, Washington	tim@condgonorchards.com	509-966-4440	509-966-4447
CONNELL, KEITH, INC.	Stilwell, Kansas	jimmy@keithconnell.com	913-681-5585	913-681-5589
CONOLEY CITRUS PACKERS	Winter Garden, Florida	custserv@conoleyfruit.com	407-656-3300	407-656-6257
CONSALO, WM., & SON	Vineland, Nueva Jersey	wmconsalo@aol.com	856-691-3377	856-691-0164
CONSOLIDATED FARMS (CRYSTAL VALLEY)	Miami, Florida	vanna@crystalvalleyfoods.com	N/A	N/A
CONSOLIDATED FARMS	Livingston, California	dmor38@aol.com	209-394-8001	209-394-7911
CONSUMERS PRODUCE	Pittsburgh, Pensilvania	rcasertano@consumersproduce.com	412-281-0722	412-281-6541
CONTEL FRESH, INC.	Springfield, Nueva Jersey	gabeconte@cs.com	973-912-0274	973-912-0779
CONTINENTAL GROWERS	Los Ángeles, California	gabriel@continentalgrowers.com	323-588-3366	323-589-8874
CONTINENTAL TRANSPORTATION	Aurora, Colorado	stanz@continentaltransportation.com	303-336-9550	303-755-5588
COOL CARGO CARRIERS	Forest Park, Georgia	tonya.bevins@inlandseafood.com	770-994-0338	770-994-0339
CO-OP ATLANTIC	Moncton, Nuevo Brunswick, Canadá	harry.moorcraft@coopatlantic.ca	506-858-6196	506-858-9189
COOMES PRODUCE	Vicksburg, Misisipi	N/A	601-634-6904	601-634-0572
COOSAW FARMS	Fairfax, Carolina del Sur	farmfreshproduce@coosawfarms.com	803-632-2021	803-632-3321
COOSEMAN SHIPPING, L.A.	Vernon, California	shipping@coosemans.com	323-588-1127	323-588-7723
COOSEMANS MONTREAL	Montreal, Quebec, Canadá	connie.coosemans@bellnet.ca	514-388-7676	514-388-1169
COOSEMANS NEW YORK	Nueva York, Nueva York	info@coosemansny.com	718-328-3060	718-842-6545
COOSEMANS PHOENIX	Phoenix, Arizona	randyw@coosemansphoenix.com	602-253-0210	602-253-0181
COOSEMANS PITTSBURGH	Pittsburgh, Pensilvania	lesainsm@aol.com	412-201-2008	412-201-1446
COOSEMANS TAMPA	Tampa, Florida	coosetampa@aol.com	813-238-9500	813-238-9811
COPE, ORRIN H. PRODUCE	Homestead, Florida	ldec49@aol.com	305-247-1656	305-248-8136
COPEFRUT, S.A.	Curicó, Chile	copefrut@copefrut.cl	567-520-9220	567-538-0905
CORCORAN, J. E.	Pittsburgh, Pensilvania	N/A	412-391-1444	412-391-8005
CORDELE MELON DEPOT	London, Kentucky	N/A	606-864-5053	606-878-7676
CORNUCOPIA PRODUCE	Santa Fe, Nuevo México	cavolina10@msn.com	505-474-5636	505-438-2579
CORONA MARKETING	Santa Maria, California	coronamktg@aol.com	805-346-2114	805-346-8138
CORONA-COLLEGE HGTS	Riverside, California	javier@cchcitrus.com	951-351-7880	951-351-7888
COSTA ORO LLC	McAllen, Texas	roxanne@sweetonions.com	956-687-9181	956-682-1012
COSTCO WHOLESALE	Issaquah, Washington	staylor@costco.com	425-313-8100	425-313-8227
COTTLE STRAWBERRY NURSERY	Faison, Carolina del Norte	geraldb@cottlefarms.com	910-267-4531	910-267-0156
COTTRELL, RICHARD	Bakersfield, California	cotmktg@aol.com	661-325-4800	661-325-4807
COUNTRYWIDE POTATO CO.	Alliance, Nebraska	corey1@telecomwest.net	308-762-7699	308-762-7899
COUNTY LINE TRANSPORT	Bakersfield, California	N/A	661-363-7966	661-363-5362
COURCHESNE LAROSE LTEE.	Montreal, Quebec, Canadá	N/A	514-525-6381	514-525-1084
COUTURE FARMS	Kettleman City, California	N/A	559-945-2226	559-945-2936
COVENANT TOMATO SALES	LaBelle, Florida	mikesammons28@hotmail.com	863-675-3333	863-675-4111
COVENANT TRADING INC.	McAllen, Texas	kmaples@rgv.rr.com	956-631-1602	956-631-1602
CRANE & CRANE, INC.	Brewster, Washington	crane@ncidata.com	509-689-3447	509-689-2214
CRAVERO PRODUCE SALES	Miami, Florida	cravero@bellsouth.net	954-321-1952	954-321-6599
CRAWFORD, HAROLD CO.	Bakersfield, California	bryanhc@hccoproduce.com	661-327-4501	661-327-2034
